,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,acc_per_params_M
0,AlexNet ,56.522,79.066,61.1,0.71,link,0.9250736497545008
1,ConvNeXt_Base ,84.062,96.87,88.6,15.36,link,0.9487810383747178
2,ConvNeXt_Large ,84.414,96.976,197.8,34.36,link,0.42676440849342767
3,ConvNeXt_Small ,83.616,96.65,50.2,8.68,link,1.6656573705179283
4,ConvNeXt_Tiny ,82.52,96.146,28.6,4.46,link,2.885314685314685
5,DenseNet121 ,74.434,91.972,8.0,2.83,link,9.30425
6,DenseNet161 ,77.138,93.56,28.7,7.73,link,2.687735191637631
7,DenseNet169 ,75.6,92.806,14.1,3.36,link,5.361702127659574
8,DenseNet201 ,76.896,93.37,20.0,4.29,link,3.8448
9,EfficientNet_B0 ,77.692,93.532,5.3,0.39,link,14.658867924528302
10,EfficientNet_B1 ,78.642,94.186,7.8,0.69,link,10.082307692307692
11,EfficientNet_B1 ,79.838,94.934,7.8,0.69,link,10.235641025641025
12,EfficientNet_B2 ,80.608,95.31,9.1,1.09,link,8.858021978021979
13,EfficientNet_B3 ,82.008,96.054,12.2,1.83,link,6.7219672131147545
14,EfficientNet_B4 ,83.384,96.594,19.3,4.39,link,4.32041450777202
15,EfficientNet_B5 ,83.444,96.628,30.4,10.27,link,2.7448684210526317
16,EfficientNet_B6 ,84.008,96.916,43.0,19.07,link,1.953674418604651
17,EfficientNet_B7 ,84.122,96.908,66.3,37.75,link,1.2688084464555054
18,EfficientNet_V2_L ,85.808,97.788,118.5,56.08,link,0.7241181434599157
19,EfficientNet_V2_M ,85.112,97.156,54.1,24.58,link,1.5732347504621071
20,EfficientNet_V2_S ,84.228,96.878,21.5,8.37,link,3.917581395348837
21,GoogLeNet ,69.778,89.53,6.6,1.5,link,10.572424242424244
22,Inception_V3 ,77.294,93.45,27.2,5.71,link,2.8416911764705883
23,MNASNet0_5 ,67.734,87.49,2.2,0.1,link,30.788181818181812
24,MNASNet0_75 ,71.18,90.496,3.2,0.21,link,22.243750000000002
25,MNASNet1_0 ,73.456,91.51,4.4,0.31,link,16.694545454545455
26,MNASNet1_3 ,76.506,93.522,6.3,0.53,link,12.143809523809525
27,MaxVit_T ,83.7,96.722,30.9,5.56,link,2.70873786407767
28,MobileNet_V2 ,71.878,90.286,3.5,0.3,link,20.536571428571428
29,MobileNet_V2 ,72.154,90.822,3.5,0.3,link,20.61542857142857
30,MobileNet_V3_Large ,74.042,91.34,5.5,0.22,link,13.462181818181818
31,MobileNet_V3_Large ,75.274,92.566,5.5,0.22,link,13.686181818181819
32,MobileNet_V3_Small ,67.668,87.402,2.5,0.06,link,27.067200000000003
33,RegNet_X_16GF ,80.058,94.944,54.3,15.94,link,1.4743646408839781
34,RegNet_X_16GF ,82.716,96.196,54.3,15.94,link,1.523314917127072
35,RegNet_X_1_6GF ,77.04,93.44,9.2,1.6,link,8.373913043478263
36,RegNet_X_1_6GF ,79.668,94.922,9.2,1.6,link,8.659565217391306
37,RegNet_X_32GF ,80.622,95.248,107.8,31.74,link,0.7478849721706865
38,RegNet_X_32GF ,83.014,96.288,107.8,31.74,link,0.7700742115027829
39,RegNet_X_3_2GF ,78.364,93.992,15.3,3.18,link,5.121830065359477
40,RegNet_X_3_2GF ,81.196,95.43,15.3,3.18,link,5.306928104575163
41,RegNet_X_400MF ,72.834,90.95,5.5,0.41,link,13.242545454545455
42,RegNet_X_400MF ,74.864,92.322,5.5,0.41,link,13.611636363636364
43,RegNet_X_800MF ,75.212,92.348,7.3,0.8,link,10.303013698630137
44,RegNet_X_800MF ,77.522,93.826,7.3,0.8,link,10.619452054794522
45,RegNet_X_8GF ,79.344,94.686,39.6,8.0,link,2.0036363636363634
46,RegNet_X_8GF ,81.682,95.678,39.6,8.0,link,2.0626767676767677
47,RegNet_Y_128GF ,88.228,98.682,644.8,374.57,link,0.13683002481389578
48,RegNet_Y_128GF ,86.068,97.844,644.8,127.52,link,0.1334801488833747
49,RegNet_Y_16GF ,80.424,95.24,83.6,15.91,link,0.9620095693779905
50,RegNet_Y_16GF ,82.886,96.328,83.6,15.91,link,0.9914593301435407
51,RegNet_Y_16GF ,86.012,98.054,83.6,46.73,link,1.0288516746411485
52,RegNet_Y_16GF ,83.976,97.244,83.6,15.91,link,1.0044976076555026
53,RegNet_Y_1_6GF ,77.95,93.966,11.2,1.61,link,6.959821428571429
54,RegNet_Y_1_6GF ,80.876,95.444,11.2,1.61,link,7.221071428571429
55,RegNet_Y_32GF ,80.878,95.34,145.0,32.28,link,0.5577793103448276
56,RegNet_Y_32GF ,83.368,96.498,145.0,32.28,link,0.574951724137931
57,RegNet_Y_32GF ,86.838,98.362,145.0,94.83,link,0.5988827586206896
58,RegNet_Y_32GF ,84.622,97.48,145.0,32.28,link,0.5836
59,RegNet_Y_3_2GF ,78.948,94.576,19.4,3.18,link,4.0694845360824745
60,RegNet_Y_3_2GF ,81.982,95.972,19.4,3.18,link,4.225876288659794
61,RegNet_Y_400MF ,74.046,91.716,4.3,0.4,link,17.220000000000002
62,RegNet_Y_400MF ,75.804,92.742,4.3,0.4,link,17.628837209302326
63,RegNet_Y_800MF ,76.42,93.136,6.4,0.83,link,11.940624999999999
64,RegNet_Y_800MF ,78.828,94.502,6.4,0.83,link,12.316875
65,RegNet_Y_8GF ,80.032,95.048,39.4,8.47,link,2.0312690355329948
66,RegNet_Y_8GF ,82.828,96.33,39.4,8.47,link,2.102233502538071
67,ResNeXt101_32X8D ,79.312,94.526,88.8,16.41,link,0.8931531531531531
68,ResNeXt101_32X8D ,82.834,96.228,88.8,16.41,link,0.9328153153153154
69,ResNeXt101_64X4D ,83.246,96.454,83.5,15.46,link,0.9969580838323353
70,ResNeXt50_32X4D ,77.618,93.698,25.0,4.23,link,3.10472
71,ResNeXt50_32X4D ,81.198,95.34,25.0,4.23,link,3.2479199999999997
72,ResNet101 ,77.374,93.546,44.5,7.8,link,1.7387415730337077
73,ResNet101 ,81.886,95.78,44.5,7.8,link,1.840134831460674
74,ResNet152 ,78.312,94.046,60.2,11.51,link,1.3008637873754152
75,ResNet152 ,82.284,96.002,60.2,11.51,link,1.366843853820598
76,ResNet18 ,69.758,89.078,11.7,1.81,link,5.9622222222222225
77,ResNet34 ,73.314,91.42,21.8,3.66,link,3.3630275229357793
78,ResNet50 ,76.13,92.862,25.6,4.09,link,2.973828125
79,ResNet50 ,80.858,95.434,25.6,4.09,link,3.158515625
80,ShuffleNet_V2_X0_5 ,60.552,81.746,1.4,0.04,link,43.251428571428576
81,ShuffleNet_V2_X1_0 ,69.362,88.316,2.3,0.14,link,30.157391304347826
82,ShuffleNet_V2_X1_5 ,72.996,91.086,3.5,0.3,link,20.855999999999998
83,ShuffleNet_V2_X2_0 ,76.23,93.006,7.4,0.58,link,10.301351351351352
84,SqueezeNet1_0 ,58.092,80.42,1.2,0.82,link,48.410000000000004
85,SqueezeNet1_1 ,58.178,80.624,1.2,0.35,link,48.48166666666667
86,Swin_B ,83.582,96.64,87.8,15.43,link,0.9519589977220956
87,Swin_S ,83.196,96.36,49.6,8.74,link,1.6773387096774193
88,Swin_T ,81.474,95.776,28.3,4.49,link,2.878939929328622
89,Swin_V2_B ,84.112,96.864,87.9,20.32,link,0.9569055745164959
90,Swin_V2_S ,83.712,96.816,49.7,11.55,link,1.6843460764587526
91,Swin_V2_T ,82.072,96.132,28.4,5.94,link,2.8898591549295776
92,VGG11_BN ,70.37,89.81,132.9,7.61,link,0.5294958615500376
93,VGG11 ,69.02,88.628,132.9,7.61,link,0.5193378480060196
94,VGG13_BN ,71.586,90.374,133.1,11.31,link,0.5378362133734035
95,VGG13 ,69.928,89.246,133.0,11.31,link,0.5257744360902256
96,VGG16_BN ,73.36,91.516,138.4,15.47,link,0.5300578034682081
97,VGG16 ,71.592,90.382,138.4,15.47,link,0.5172832369942196
98,VGG16 ,,,138.4,15.47,link,
99,VGG19_BN ,74.218,91.842,143.7,19.63,link,0.5164787752261657
100,VGG19 ,72.376,90.876,143.7,19.63,link,0.50366040361865
101,ViT_B_16 ,81.072,95.318,86.6,17.56,link,0.9361662817551964
102,ViT_B_16 ,85.304,97.65,86.9,55.48,link,0.9816340621403912
103,ViT_B_16 ,81.886,96.18,86.6,17.56,link,0.9455658198614318
104,ViT_B_32 ,75.912,92.466,88.2,4.41,link,0.8606802721088436
105,ViT_H_14 ,88.552,98.694,633.5,1016.72,link,0.13978216258879245
106,ViT_H_14 ,85.708,97.73,632.0,167.29,link,0.1356139240506329
107,ViT_L_16 ,79.662,94.638,304.3,61.55,link,0.2617877094972067
108,ViT_L_16 ,88.064,98.512,305.2,361.99,link,0.28854521625163826
109,ViT_L_16 ,85.146,97.422,304.3,61.55,link,0.2798093986197831
110,ViT_L_32 ,76.972,93.07,306.5,15.38,link,0.2511321370309951
111,Wide_ResNet101_2 ,78.848,94.284,126.9,22.75,link,0.6213396375098502
112,Wide_ResNet101_2 ,82.51,96.02,126.9,22.75,link,0.6501970055161544
113,Wide_ResNet50_2 ,78.468,94.086,68.9,11.4,link,1.1388679245283018
114,Wide_ResNet50_2 ,81.602,95.758,68.9,11.4,link,1.1843541364296082
