,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,acc_per_params_M,model_type
0,MC3_18 ,63.96,84.13,11.7,43.34,link,5.466666666666667,MC
1,MViT_V1_B ,78.477,93.582,36.6,70.6,link,2.1441803278688525,MViT
2,MViT_V2_S ,80.757,94.665,34.5,64.22,link,2.3407826086956525,MViT
3,R2Plus1D_18 ,67.463,86.175,31.5,40.52,link,2.1416825396825394,RPlusD
4,R3D_18 ,63.2,83.479,33.4,40.7,link,1.8922155688622757,RD
5,S3D ,68.368,88.05,8.3,17.98,link,8.237108433734939,SD
6,Swin3D_B ,79.427,94.386,88.0,140.67,link,0.9025795454545456,SwinD
7,Swin3D_B ,81.643,95.574,88.0,140.67,link,0.9277613636363636,SwinD
8,Swin3D_S ,79.521,94.158,49.8,82.84,link,1.5968072289156627,SwinD
9,Swin3D_T ,77.715,93.519,28.2,43.88,link,2.7558510638297875,SwinD
